K1+	19	6	0	1	3608.4	378.6	297.3	294.6	34.8	18.3	18.3	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ca2+	20	6	0	2	4038.5	438.4	349.7	346.2	44.3	25.4	25.4	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Sc3+	21	6	0	3	4492.0	498.0	403.6	398.7	51.1	28.3	28.3	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ti1+	22	6	3	1	4966.0	560.9	460.2	453.8	58.7	32.6	32.6	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ti2+	22	6	2	2	4966.0	560.9	460.2	453.8	58.7	32.6	32.6	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ti3+	22	6	1	3	4966.0	560.9	460.2	453.8	58.7	32.6	32.6	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ti4+	22	6	0	4	4966.0	560.9	460.2	453.8	58.7	32.6	32.6	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
V1+	23	6	4	1	5465.0	626.7	519.8	512.1	66.3	37.2	37.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
V2+	23	6	3	2	5465.0	626.7	519.8	512.1	66.3	37.2	37.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
V3+	23	6	2	3	5465.0	626.7	519.8	512.1	66.3	37.2	37.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
V4+	23	6	1	4	5465.0	626.7	519.8	512.1	66.3	37.2	37.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
V5+	23	6	0	5	5465.0	626.7	519.8	512.1	66.3	37.2	37.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cr1+	24	6	5	1	5989.0	696.0	583.8	574.1	74.1	42.2	42.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cr2+	24	6	4	2	5989.0	696.0	583.8	574.1	74.1	42.2	42.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cr3+	24	6	3	3	5989.0	696.0	583.8	574.1	74.1	42.2	42.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cr4+	24	6	2	4	5989.0	696.0	583.8	574.1	74.1	42.2	42.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cr5+	24	6	1	5	5989.0	696.0	583.8	574.1	74.1	42.2	42.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cr6+	24	6	0	6	5989.0	696.0	583.8	574.1	74.1	42.2	42.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn1+	25	6	6	1	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn2+	25	6	5	2	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn3+	25	6	4	3	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn4+	25	6	3	5	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn5+	25	6	2	7	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn6+	25	6	1	6	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Mn7+	25	6	0	7	6539.0	769.1	649.9	638.7	82.3	47.2	47.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Fe1+	26	6	7	1	7112.0	844.6	719.9	706.8	91.3	52.7	52.7	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Fe2+	26	6	6	2	7112.0	844.6	719.9	706.8	91.3	52.7	52.7	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Fe3+	26	6	5	3	7112.0	844.6	719.9	706.8	91.3	52.7	52.7	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Fe4+	26	6	4	4	7112.0	844.6	719.9	706.8	91.3	52.7	52.7	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Co1+	27	6	8	1	7709.0	925.1	793.2	778.1	101.0	58.9	59.9	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Co2+	27	6	7	2	7709.0	925.1	793.2	778.1	101.0	58.9	59.9	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Co3+	27	6	6	3	7709.0	925.1	793.2	778.1	101.0	58.9	59.9	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Co4+	27	6	5	4	7709.0	925.1	793.2	778.1	101.0	58.9	59.9	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ni1+	28	6	9	1	8333.0	1008.6	870.0	852.7	110.8	68.0	66.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ni2+	28	6	8	2	8333.0	1008.6	870.0	852.7	110.8	68.0	66.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Ni3+	28	6	7	3	8333.0	1008.6	870.0	852.7	110.8	68.0	66.2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cu2+	29	6	9	2	8979.0	1096.7	952.3	932.7	122.5	77.3	75.1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Cu3+	29	6	8	3	8979.0	1096.7	952.3	932.7	122.5	77.3	75.1	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Rb1+	37	6	0	1	15200.0	2065.0	1864.0	1804.0	326.7	248.7	239.1	113.0	112.0	30.5	16.3	15.3	0	0	0	0	0	0	0
Sr2+	38	6	0	2	16105.0	2216.0	2007.0	1940.0	358.7	280.3	270.0	136.0	134.2	38.9	21.3	20.1	0	0	0	0	0	0	0
Y3+	39	6	0	3	17038.0	2373.0	2156.0	2080.0	392.0	310.6	298.8	157.7	155.8	43.8	24.4	23.1	0	0	0	0	0	0	0
Zr2+	40	6	2	2	17998.0	2532.0	2307.0	2223.0	430.3	343.5	329.8	181.1	178.8	50.6	28.5	27.1	0	0	0	0	0	0	0
Zr3+	40	6	1	3	17998.0	2532.0	2307.0	2223.0	430.3	343.5	329.8	181.1	178.8	50.6	28.5	27.1	0	0	0	0	0	0	0
Zr4+	40	6	0	4	17998.0	2532.0	2307.0	2223.0	430.3	343.5	329.8	181.1	178.8	50.6	28.5	27.1	0	0	0	0	0	0	0
